Date,Open,High,Low,Close,Volume,AdjustedClose
20221114,4620.000,4640.000,4550.000,4580.000,156892500,4580.000
20221115,4580.000,4610.000,4560.000,4580.000,71985700,4580.000
20221116,4590.000,4610.000,4490.000,4520.000,249900500,4520.000
20221117,4520.000,4670.000,4500.000,4670.000,217126700,4670.000
20221118,4670.000,4680.000,4610.000,4610.000,105351900,4610.000
20221121,4620.000,4630.000,4560.000,4590.000,96343400,4590.000
20221122,4570.000,4670.000,4570.000,4590.000,154866000,4590.000
20221123,4640.000,4670.000,4630.000,4670.000,148640900,4670.000
20221124,4700.000,4740.000,4670.000,4720.000,168898100,4720.000
20221125,4700.000,4750.000,4690.000,4750.000,152038400,4750.000
20221128,4730.000,4830.000,4730.000,4820.000,195211800,4820.000
20221129,4820.000,4860.000,4790.000,4850.000,166057400,4850.000
20221130,4810.000,4980.000,4800.000,4980.000,395465800,4980.000
20221201,5000.000,5025.000,4900.000,4940.000,240171100,4940.000
20221202,4900.000,4930.000,4860.000,4890.000,200044500,4890.000
20221205,4910.000,4930.000,4860.000,4890.000,106809900,4890.000
20221206,4860.000,4890.000,4800.000,4860.000,151347200,4860.000
20221207,4840.000,4840.000,4740.000,4760.000,219528600,4760.000
20221208,4760.000,4840.000,4710.000,4840.000,137593900,4840.000
20221209,4830.000,4840.000,4760.000,4800.000,180384800,4800.000
20221212,4800.000,4850.000,4760.000,4850.000,113787500,4850.000
20221213,4870.000,4980.000,4840.000,4970.000,158080300,4970.000
20221214,5000.000,5000.000,4870.000,4980.000,201343100,4980.000
20221215,4900.000,4940.000,4880.000,4910.000,143086000,4910.000
20221216,4820.000,4980.000,4820.000,4980.000,350112900,4980.000
20221219,4970.000,4980.000,4920.000,4970.000,64757100,4970.000
20221220,4930.000,4970.000,4890.000,4910.000,79066000,4910.000
20221221,4910.000,4940.000,4870.000,4890.000,71596900,4890.000
20221222,4910.000,4970.000,4900.000,4960.000,72725200,4960.000
20221223,4920.000,4940.000,4880.000,4880.000,53350600,4880.000
20221226,4900.000,4930.000,4890.000,4930.000,43590300,4930.000
20221227,4930.000,4950.000,4860.000,4870.000,81817500,4870.000
20221228,4870.000,4880.000,4810.000,4820.000,134315900,4820.000
20221229,4820.000,4870.000,4800.000,4870.000,106690700,4870.000
20221230,4870.000,4950.000,4870.000,4940.000,182091500,4940.000
20230102,4910.000,4920.000,4820.000,4870.000,109069900,4870.000
20230103,4830.000,4900.000,4830.000,4850.000,95179400,4850.000
20230104,4850.000,4850.000,4770.000,4770.000,188230000,4770.000
20230105,4750.000,4760.000,4570.000,4640.000,292142000,4640.000
20230106,4550.000,4640.000,4550.000,4620.000,175932000,4620.000
20230109,4580.000,4640.000,4550.000,4590.000,166620000,4590.000
20230110,4550.000,4570.000,4410.000,4430.000,250490000,4430.000
20230111,4410.000,4430.000,4360.000,4380.000,249085500,4380.000
20230112,4480.000,4520.000,4410.000,4500.000,191801400,4500.000
20230113,4510.000,4530.000,4420.000,4480.000,134661900,4480.000
20230116,4430.000,4530.000,4420.000,4520.000,162026700,4520.000
20230117,4520.000,4580.000,4510.000,4560.000,150577400,4560.000
20230118,4560.000,4620.000,4560.000,4600.000,178058900,4600.000
20230119,4590.000,4630.000,4580.000,4610.000,103197400,4610.000
20230120,4630.000,4670.000,4620.000,4650.000,99716100,4650.000
20230124,4660.000,4680.000,4590.000,4620.000,74760100,4620.000
20230125,4620.000,4620.000,4550.000,4560.000,73861500,4560.000
20230126,4560.000,4620.000,4550.000,4590.000,113894600,4590.000
20230127,4600.000,4680.000,4600.000,4640.000,160345400,4640.000
20230130,4650.000,4680.000,4570.000,4610.000,221100100,4610.000
20230131,4610.000,4620.000,4570.000,4580.000,211639100,4580.000
20230201,4630.000,4690.000,4620.000,4680.000,181954400,4680.000
20230202,4650.000,4680.000,4600.000,4600.000,125410800,4600.000
20230203,4650.000,4780.000,4630.000,4750.000,198944500,4750.000
20230206,4780.000,4810.000,4680.000,4740.000,141454400,4740.000
20230207,4740.000,4790.000,4720.000,4750.000,140923100,4750.000
20230208,4710.000,4790.000,4710.000,4790.000,168618100,4790.000
20230209,4790.000,4840.000,4770.000,4810.000,155917600,4810.000
20230210,4840.000,4880.000,4770.000,4860.000,181146600,4860.000
20230213,4900.000,4900.000,4800.000,4800.000,122509100,4800.000
20230214,4820.000,4870.000,4810.000,4870.000,101007200,4870.000
20230215,4890.000,4890.000,4810.000,4870.000,107131200,4870.000
20230216,4890.000,4890.000,4850.000,4870.000,69966900,4870.000
20230217,4890.000,4890.000,4830.000,4880.000,90548800,4880.000
20230220,4900.000,4900.000,4840.000,4880.000,88433000,4880.000
20230221,4880.000,4880.000,4820.000,4820.000,59319100,4820.000
20230222,4790.000,4810.000,4730.000,4760.000,122400600,4760.000
20230223,4810.000,4810.000,4730.000,4800.000,139206900,4800.000
20230224,4800.000,4840.000,4760.000,4760.000,60495900,4760.000
20230227,4780.000,4810.000,4760.000,4810.000,76714400,4810.000
20230228,4760.000,4790.000,4670.000,4670.000,273125500,4670.000
20230301,4730.000,4750.000,4700.000,4720.000,115578600,4720.000
20230302,4750.000,4780.000,4720.000,4780.000,59394100,4780.000
